batch_number,gets,puts,get_ratio,put_ratio
485,9941,0,1.0,0.0
486,9957,0,1.0,0.0
487,9954,0,1.0,0.0
488,9923,0,1.0,0.0
489,9914,0,1.0,0.0
490,9926,0,1.0,0.0
491,9935,0,1.0,0.0
492,9952,0,1.0,0.0
493,9897,0,1.0,0.0
494,9921,0,1.0,0.0
495,9930,0,1.0,0.0
496,9924,0,1.0,0.0
497,9937,0,1.0,0.0
498,9931,0,1.0,0.0
499,9923,0,1.0,0.0
500,9958,0,1.0,0.0
501,9951,0,1.0,0.0
502,9920,0,1.0,0.0
503,9929,0,1.0,0.0
504,9937,0,1.0,0.0
505,9926,0,1.0,0.0
506,9924,0,1.0,0.0
507,9950,0,1.0,0.0
508,9941,0,1.0,0.0
509,9944,0,1.0,0.0
510,9927,0,1.0,0.0
511,9941,0,1.0,0.0
512,9944,0,1.0,0.0
513,9946,0,1.0,0.0
514,9949,0,1.0,0.0
515,9948,0,1.0,0.0
516,9918,0,1.0,0.0
517,9938,0,1.0,0.0
518,9941,0,1.0,0.0
519,9906,0,1.0,0.0
520,9950,0,1.0,0.0
521,9941,0,1.0,0.0
522,9903,0,1.0,0.0
523,9929,0,1.0,0.0
524,9949,0,1.0,0.0
525,9936,0,1.0,0.0
526,9886,0,1.0,0.0
527,9935,0,1.0,0.0
528,9925,0,1.0,0.0
529,9949,0,1.0,0.0
530,9919,0,1.0,0.0
531,9928,0,1.0,0.0
532,9937,0,1.0,0.0
533,9939,0,1.0,0.0
534,9911,0,1.0,0.0
535,9914,0,1.0,0.0
536,9924,0,1.0,0.0
537,9928,0,1.0,0.0
538,9928,0,1.0,0.0
539,9896,0,1.0,0.0
540,9937,0,1.0,0.0
541,9936,0,1.0,0.0
542,9953,0,1.0,0.0
543,9941,0,1.0,0.0
544,9911,0,1.0,0.0
545,9923,0,1.0,0.0
546,9943,0,1.0,0.0
547,9905,0,1.0,0.0
548,9940,0,1.0,0.0
549,9884,0,1.0,0.0
550,9918,0,1.0,0.0
551,9914,0,1.0,0.0
552,9923,0,1.0,0.0
553,9938,0,1.0,0.0
554,9917,0,1.0,0.0
555,9922,0,1.0,0.0
556,9928,0,1.0,0.0
557,9910,0,1.0,0.0
558,9938,0,1.0,0.0
559,9944,0,1.0,0.0
560,9926,0,1.0,0.0
561,9927,0,1.0,0.0
562,9934,0,1.0,0.0
563,9908,0,1.0,0.0
564,9955,0,1.0,0.0
565,9924,0,1.0,0.0
566,9938,0,1.0,0.0
567,9905,0,1.0,0.0
568,9882,0,1.0,0.0
569,9930,0,1.0,0.0
570,9885,0,1.0,0.0
571,9923,0,1.0,0.0
572,9899,0,1.0,0.0
573,9939,0,1.0,0.0
574,9937,0,1.0,0.0
575,9926,0,1.0,0.0
576,9892,0,1.0,0.0
577,9912,0,1.0,0.0
578,9892,0,1.0,0.0
579,9925,0,1.0,0.0
580,9900,0,1.0,0.0
581,9928,0,1.0,0.0
582,9941,0,1.0,0.0
583,9926,0,1.0,0.0
584,9929,0,1.0,0.0
585,9934,0,1.0,0.0
586,9935,0,1.0,0.0
587,9922,0,1.0,0.0
588,9927,0,1.0,0.0
589,9963,0,1.0,0.0
590,9932,0,1.0,0.0
591,9959,0,1.0,0.0
592,9944,0,1.0,0.0
593,9942,0,1.0,0.0
594,9895,0,1.0,0.0
595,9922,0,1.0,0.0
596,9956,0,1.0,0.0
597,9931,0,1.0,0.0
598,9884,0,1.0,0.0
599,9956,0,1.0,0.0
600,9937,0,1.0,0.0
601,9945,0,1.0,0.0
602,9950,0,1.0,0.0
603,9944,0,1.0,0.0
604,9930,0,1.0,0.0
605,9917,0,1.0,0.0
606,9939,0,1.0,0.0
